Serial Number,Asset Tag
C02T31CRHF1T,168
C02CW2LDML86,830
C02YD824JG5J,01020
C02P66DWG3QD,57
C02YF0M0JG5J,01251
C02WQ0P1HV2R,00408
C02X10RSHTDF,413
C02ZLDTJMD6N,1068
9LMQ1X2,01033
C02X70VYJG5J,00288
C02YM4LCLVCG,573
C02X426ZJHD3,90
C02CQ53FMD6N,1166
C02ZL5UXMD6N,00829
C02YP003JHD3,565
C02SQ3SZGTDY,162
C02CL0FJMD6T,779
C02YPBMJLVCG,01040
C17ZPP6EMD6N,674
C02SR060HF1T,163
FF4GWT12,593
C02WQ0P6HV2R,410
9RJ8ZM2,341
C02WQ2ZYHV2Q,497
C02Y50F1JG5J,01012
C02ZD17FLVDM,634
COZX4EBJJG5J,88
C02YR1LPLVCG,598
21TR0Z2,613
BVQFM33,833
C02XK2TTJG5J,296
C02YM76CLVCG,01279
C02YJ1WPJG5J,01260
35R2JR2,447
C02VJ0MCHV2V,264
C02CK0J9LVDM,773
C02ZC256LVDR,01053
C02RF3P9G8WP,61
C02YPBN9LVCG,01039
029307794354,676
C02Z34XYLVDR,594
C02Z2AE7LVCG,648
C02YQ0PDLVCG,589
9VZS8Y2,667
PF0MB5CA,180
4YZWYY2,665
C02XC1N7JG5J,439
C02XC1N7JG5J,439
C02YM05RLVCG,01030
C02V804THTD9,267
C02ZL7X1MD6N,1144
C02ZX7K5MD6N,775
9RJ8ZM2,341
CB31531653,189
JWDLZM2,343
000855383857,628
C02ZL5YQMD6N,1145
C02YK3S5LVCG,01031
1GCM5Y2,01070
C02WP1QNHTDF,409
C02ZMN34MD6N,1069
71ZL5Y2,697
17713315622,1001
032168191657,635
C02Y60C7JHC8,01015
COZWROCSHTDH,282
C025D05WG8WP,69
C025D05WG8WP,69
C02X70YHJHD3,89
DLJNMV2,540
HG4DPV2,549
C02RG3UFG8WP,97
C02YM42JLVCG,01029
C02TG31CGTF1,185
C02X6350JHD3,425
C02Z325ZLVDM,01296
C46KQV2,01021
C02SL05LFVH8,176
C02C71FYLVDM,730
8F7GM33,837
C02SD59KG8WP,67
C02WQ2M0HTDF,365
2KHGWT2,592
C02VJ0MBHV2V,263
C02Z2AEFLVCG,642
FFCWL13,01084
C02XK9YRJG5J,295
895T8Y2,668
C02ZL98PMD6N,1070
C02YJ192JG5J,558
JKVV5M2,84
6RH3MH2,266
MP-079H5E,37
8BW4QN2,407
43134M2,306
C02XD6RDJG5J,350
6YQM5Y2,743
C02YM4K6LVCG,01278
C02PC7TBG3QD,39
C6KT6GWCHG7F,184
DNQVR3WDJCLH,308
C02QJBBZG8WP,34
PF-0KWAUX 16/10,159
C02ZL3ERMMD6N,01310
C02CW2LCML86,797
C02Z1DERLVCG,615
R9-0LUTRE,72
6Q7DW33,841
83JR5Q2,423
C02Z64XNLVCG,660
C02YJ1X3JG5J,557
1PZR0Z2,612
C02Z101FLVCG,604
C02YQ12RLVCG,588
DC5YYY2,670
C02ZQ0P6LVDM,672
7J0N2Z2,624
C02XJHLSJG5J,00262
C02TV1VUHV2X,252
C02TV1VUHV2X,252
C02ZMTUEMD6N,719
C02ZL32XMD6N,687
C02ZLDTLMD6N,01307
CDLM5Y2,742
C02X51WMJG5J,416
FVFV808AJWV,240
C02WH0GRHTDF,404
C02VW08VHTDF,83
C02WH0GQHTDF,403
C02YPO1BJHD3,566
C02YG1MCJHD3,533
C02ZMN7TMD6N,718
GR00PN2,394
C02X51T1JG5J,422
GNDR4Y2,694
C02YD25GJHD3,354
43QP7S2,00353
9JBYXY2,664
86G8TT2,489
C02V22WUHTD6,225
C02ZMNTBMD6N,698
C02ZMTV8MD6N,720
C02VP1JXHTDF,300
C02YJ1DMJG5J,01261
C02C30F4LVDM,721
C02X6L5BJG5J,431
3F0L5Y2,695
FVHVQCZDJ1WK,316
C02TR1BJHTD7,217
DH051X2,646
C02ZL7W6MD6N,681
C02YR1KQLVCG,599
C02ZLC6MD6N,01311
C02PH1PHG3QD,110
C02ZL2EPMD6N,729
C2PNRQ2,428
C02WF058HTDF,383
JVCQQN2,366
C02YF025JG5J,01019
C02YF025JG5J,01019
C02XM4UEJG5J,00356
C02X90V3JG5J,436
PF-1XS5DH,745
PF0KAZQV,124
DDDPRQ2,429
FNWXST2,454
C02ZL36BMD6N,01086
MP-079HA8,118
C1MSM5UJH3QF,161
C02TJ0SKHF1R,188
C02CX0EJML86,827
C02YJ1A9JG5J,01022
41HTPV2,552
FX3LWT2,1253
C02WG08AHTDF,87
C02CH15NLVDM,1147
C02RD02MFVH9,9
C02CL0VEMD6T,822
C02ZL1XSMD6N,688
DX8NZY2,606
C02YF0MSJG5J,01018
BXH0TT2,346
C02Y5MDJJHC8,01254
C02YJ1A3JG5J,01032
CO2X52T6JG5J,421
C02ZR0DCLVDM,680
6N4LK13,724
CYFM2Z2,653
C02Y4BN0JG5J,01013
4S90RV2,567
